NAME,LOCATION,ELEV,LAT,LON
Manam,Papua New Guinea,1807,-4.08,145.04
Mariveles,Philippines,1388,14.52,120.47
Marsabit,Kenya,1707,2.32,37.97
Masaya,Nicaragua,635,11.98,-86.16
Mashkovtsev,Russia,503,51.10,156.72
Mashu,Japan,855,43.57,144.57
Mauna Kea,United States,4205,19.82,-155.47
Mauna Loa,United States,4170,19.48,-155.61
Mayon,Philippines,2462,13.26,123.69
McDonald Islands,Australia,230,-53.03,72.60
McLoughlin,United States,2894,42.45,-122.32
Mega Basalt Field,EthiopiaKenya,1067,37.42,4.08
Menan Buttes,United States,1713,43.70,-111.96
Menengai,Kenya,2278,-0.20,36.07
Merapi,Indonesia,2911,-7.54,110.44
Merbabu,Indonesia,3145,-7.45,110.43
Meru,Tanzania,4565,-3.25,36.75
Methana,Greece,760,37.62,23.34
Metis Shoal,Tonga,43,-19.18,-174.87
Michael,United Kingdom,990,-57.78,-26.45
Michoacan-Guanajuato,Mexico,3860,19.85,-101.75
Mílos,Greece,751,36.70,24.44
Miyake-jima,Japan,815,34.08,139.53
Moffett,United States,1196,51.94,-176.75
Mojanda,Ecuador,4263,0.13,-78.27
Momotombo,Nicaragua,1297,12.42,-86.54
Monaco Bank,Portugal,-197,37.60,-25.88
Mono Lake Vol Field,United States,2121,38.00,-119.03
Monowai Seamount,New Zealand,-132,-25.89,-177.19
Moti,Indonesia,950,0.45,127.40
Muria,Indonesia,1625,-6.62,110.88
Nantai,Japan,2486,36.76,139.48
Nasu,Japan,1915,37.12,139.97
Negro, Cerro,Nicaragua,728,12.51,-86.70
Nemo Peak,Russia,1018,49.57,154.81
Nevis Peak,St. Kitts and Nevis,985,17.15,-62.58
Newberry,United States,2434,43.72,-121.23
Newer Volcanics Province,Australia,1011,-37.77,142.50
Ngauruhoe,New Zealand,1978,-39.13,175.64
Nikko-Shirane,Japan,2578,36.80,139.38
Nipesotsu-Maruyama,Japan,2013,43.45,143.04
Nisyros,Greece,698,36.59,27.16
Nyambeni Hills,Kenya,750,0.23,37.87
Nyamuragira,Democratic Republic of Congo,3058,-1.41,29.20
Nyiragongo,Democratic Republic of Congo,3470,-1.52,29.25
Ojos del Salado,Chile/Argentina,6887,-27.12,-68.55
Okataina,New Zealand,1111,-38.12,176.50
Okmok,United States,1073,53.43,-168.13
Oku Volcanic Field,Cameroon,3011,6.25,10.50
Ol Doinyo Lengai,Tanzania,2962,-2.76,39.91
Opala,Russia,1776,52.54,157.34
Oraefajokull,Iceland,2119,64.00,-16.65
Oshima,Japan,764,34.72,139.40
Pacaya,Guatemala,2552,14.38,-90.60
Pagan,United States,570,18.13,145.80
Pago,Papua New Guinea,742,-5.58,150.52
Papandayan,Indonesia,2665,-7.32,107.73
Paricutin,Mexico,3170,19.50,-102.20
Parinacota,Chile/Bolivia,6348,-18.17,-69.15
Pauzhetka,Russia,1070,51.45,156.97
Pavlof,United States,2519,55.42,-161.89
Pavlof Sister,United States,2142,55.45,-161.84
Pelee,France,1397,14.82,-61.17
Peuet Sague,Indonesia,2801,4.91,96.33
Pico,Portugal,2351,38.47,-28.40
Pilas, Las,Nicaragua,1700,11.54,-85.62
Pinacate,Mexico,1200,31.77,-113.50
Pinatubo,Phillippines,1486,15.13,120.35
Pisgah Lava Field,United States,1495,34.75,-116.63
Piton de la Fournaise,France,2631,-21.23,55.71
Poas,Costa Rica,2708,10.20,-84.23
Popocatepetl,Mexico,5246,19.02,-98.62
Prevo Peak,Russia,1360,47.02,152.12
Purace,Colombia,4650,2.32,-76.40
Quill, The,Netherlands,601,17.48,-62.96
Rabaul,Papua New Guinea,688,-4.27,152.20
Ragang,Phillippines,2815,7.70,124.50
Raikoke,Russia,551,48.29,153.25
Rainier,United States,4392,46.85,-121.76
Rajabasa,Indonesia,1281,-5.78,105.63
Raoul,New Zealand,516,-29.27,-177.92
Rasshua,Russia,956,47.77,153.02
Raung,Indonesia,3332,-8.13,114.04
Rausu,Japan,1660,44.07,145.13
Redoubt,United States,3108,60.49,-152.74
Reventador,Ecuador,3562,-0.08,-77.66
Rincon de la Vieja,Costa Rica,1916,10.83,-85.32
Roundtop,United States,1871,54.80,-163.59
Ruapehu,New Zealand,2797,-39.28,175.57
Rudakov,Russia,542,45.88,149.83
Ruiz, Nevado del,Colombia,5321,4.89,-75.32
Rumble IV,New Zealand,500,-36.13,178.05
Saba,Netherlands,887,17.63,-63.23
Sabancaya,Peru,5967,-15.78,-71.85
Sakar,Papua New Guinea,992,-5.41,148.09
Sakura-jima,Japan,1117,31.59,130.66
Salak,Indonesia,2211,-6.72,106.73
San Cristobal,Nicaragua,1745,12.70,-87.00
San Salvador,El Salvador,1893,13.73,-89.29
San Vicente,Cape Verde Islands,697,16.90,-25.00
Sanford,United States,4949,62.22,-144.13
Sangay,Ecuador,5230,-2.00,-78.34
Santa Ana,El Salvador,2381,13.85,-89.63
Santa Maria,Guatemala,3772,14.76,-91.55
Santorini,Greece,367,36.40,25.40
Sarychev Peak,Russia,1496,48.09,153.20
Savo,Solomon Islands,485,-9.13,159.82
Segula,United States,1160,52.02,178.14
Semeru,Indonesia,3676,-8.11,112.92
Semisopochnoi,United States,1221,51.93,179.58
Sete Cidades,Portugal,856,37.87,-25.78
Shasta,United States,4317,41.41,-122.19
Sheveluch,Russia,3283,56.65,161.36
Shikotsu,Japan,1320,42.69,141.38
Shiretoko-Iwo-zan,Japan,1563,44.13,145.17
Shishaldin,United States,2857,54.76,-163.97
Sinarka,Russia,934,48.88,154.18
Smirnov,Russia,1189,44.42,146.14
Sollipulli,Chile,2282,-38.97,-71.52
Soputan,Indonesia,1784,1.11,124.73
Soufriere Guadeloupe,France,1467,16.05,-61.67
Soufrière Hills,United Kingdom,915,16.72,-62.18
Soufrière St. Vincent,St. Vincent,1220,13.33,-61.18
South Island,Kenya,800,2.63,36.60
SP Mountain,United States,2141,35.60,-111.60
Spurr,United States,3374,61.30,-152.25
Srednii,Russia,36,47.60,152.92
Steller,United States,2272,58.40,-154.40
Stromboli,Italy,924,38.79,15.21
Sumaco,Ecuador,3990,-0.54,-77.63
Sumbing,Indonesia,3371,-7.38,110.07
Sundoro,Indonesia,3136,-7.30,109.99
Sunset Craters,United States,2447,35.37,-111.50
Suswa,Kenya,2356,-1.18,36.35
Suwanose-jima,Japan,799,29.64,129.72
Taal,Philippines,311,14.00,120.99
Talang,Indonesia,2597,-0.98,100.68
Tambora,Indonesia,2850,-8.25,118.00
Tambora,Indonesia,2850,-8.25,118.00
Tanaga and Takawangha,United States,1806,51.89,-178.15
Tanaga and Takawangha,United States,1806,51.89,-178.15
Tangkubanparahu,Indonesia,2084,-6.77,107.60
Tao-Rusyr Caldera,Russia,1325,49.35,154.70
Tarso Voon,Chad,3100,20.92,17.28
Telica Volcano,Nicaragua,1010,12.60,-86.85
Tenerife,Spain,3715,28.27,-16.64
Tengger Caldera and Bromo,Indonesia,2329,-7.94,112.95
Three Fingered Jack,United States,2390,44.50,-121.80
Three Sisters,United States,3100,44.10,121.77
Thule Islands,United Kingdom,1075,-59.45,-27.37
Tiatia,Russia,1819,44.35,146.26
Toba,Indonesia,2157,2.58,98.83
Todoko-Ranu,Indonesia,979,1.25,127.47
Tokachi,Japan,2077,43.42,142.69
Tolbachik,Russia,3682,55.83,160.33
Tolimán,Guatemala,3158,14.61,-91.19
Towada,Japan,1159,40.47,140.92
Traitor's Head,Vanuatu,1881,-18.75,169.23
Tri Sestry,Russia,998,45.93,149.92
Tristan da Cunha,United Kingdom,2060,-37.09,-12.28
Tsurumi,Japan,1584,33.28,131.43
Tungurahua,Ecuador,2011,-1.47,-78.44
Ubehebe Craters,United States,752,37.02,-117.45
Ubinas,Peru,5672,-16.36,-70.90
Udina,Russia,2923,55.76,160.53
Ugashik and Peulik,United States,1474,57.75,-156.37
Uinkaret Volcanic Field,United States,1555,36.38,-113.13
Ulawun,Papua New Guinea,2334,-5.05,151.33
Umboi,Papua New Guinea,1548,-5.59,147.88
Undara,Australia,1020,-18.25,144.75
Ungaran and Telomoyo,Indonesia,2050,-7.18,110.33
Unzen,Japan,1500,32.76,130.29
Urataman,Russia,678,47.12,152.25
Ushishur,Russia,401,47.52,152.80
Usu,Japan,737,42.54,140.84
Uzon,Russia,1617,54.50,159.97
Veniaminof,United States,2507,56.17,-159.38
Vernadskii Ridge,Russia,1183,50.55,155.97
Vesuvius,Italy,1281,40.82,14.43
Villarrica,Chile,2847,-39.42,-71.93
Vilyuchik,Russia,2173,52.70,158.28
Visoke,Congo/Rwanda,3711,-1.47,29.49
Vsevidof and Recheschnoi Volcanoes,United States,2149,53.13,-168.69
Vulcano,Italy,500,38.40,14.96
Washington,United States,2376,44.30,-121.80
Wau-en-Namus,Libya,547,25.05,17.55
Westdahl,United States,1654,54.52,-164.65
White Island,New Zealand,321,-37.52,177.18
Wrangell,United States,4317,62.00,-144.02
Wudalianchi,China,597,48.72,126.12
Yake-dake,Japan,2455,36.22,137.59
Yali,Greece,180,36.67,27.14
Yantarni,United States,1345,57.02,-157.19
Yasur,Vanuatu,361,-19.53,169.44
Yellowstone,United States,2805,44.43,-110.67
Zavaritzki Caldera,Russia,624,46.93,151.95
Zheltovsky,Russia,1953,51.57,157.32
Zhupanovsky,Russia,2958,53.59,159.15
Zimina,Russia,3081,55.86,160.60
